,rating,likes,genre,top cast,language,director
Idiocracy,3.0,34249,"['Science Fiction', 'Comedy', 'Adventure']","['Luke Wilson', 'Maya Rudolph', 'Dax Shepard']",English,Mike Judge
Blazing Saddles,3.82,60941,"['Western', 'Comedy']","['Cleavon Little', 'Gene Wilder', 'Slim Pickens']",English,Mel Brooks
Kung Fu Hustle,3.94,54597,"['Comedy', 'Fantasy', 'Crime', 'Action']","['Stephen Chow', 'Yuen Wah', 'Yuen Qiu']",Cantonese,Stephen Chow
Night of the Living Dead,3.97,95176,"['Thriller', 'Science Fiction', 'Horror']","[""Judith O'Dea"", 'Duane Jones', 'Marilyn Eastman']",English,George A. Romero
Fargo,4.22,370114,"['Crime', 'Drama', 'Thriller', 'Comedy']","['Frances McDormand', 'William H. Macy', 'Steve Buscemi']",English,Joel Coen
"tick, tick...BOOM!",3.82,262799,"['Drama', 'Music']","['Andrew Garfield', 'Robin de Jesús', 'Alexandra Shipp']",English,Lin-Manuel Miranda
Good Time,4.0,232458,"['Thriller', 'Crime']","['Robert Pattinson', 'Benny Safdie', 'Buddy Duress']",English,Josh Safdie
The Lego Movie,3.79,299389,"['Family', 'Animation', 'Adventure', 'Fantasy', 'Comedy']","['Chris Pratt', 'Elizabeth Banks', 'Will Ferrell']",English,Phil Lord
The Farewell,4.06,126562,"['Comedy', 'Drama']","['Awkwafina', 'Zhao Shuzhen', 'Tzi Ma']",English,Lulu Wang
"Three Billboards Outside Ebbing, Missouri",4.03,265370,"['Crime', 'Drama']","['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']",English,Martin McDonagh
Rosemary's Baby,4.21,167164,"['Horror', 'Drama', 'Thriller']","['Mia Farrow', 'John Cassavetes', 'Ruth Gordon']",English,Roman Polanski
Big Fish,3.88,158693,"['Drama', 'Adventure', 'Fantasy']","['Ewan McGregor', 'Albert Finney', 'Billy Crudup']",English,Tim Burton
"Monsters, Inc.",4.07,597882,"['Comedy', 'Animation', 'Family']","['John Goodman', 'Billy Crystal', 'Mary Gibbs']",English,Pete Docter
"The Good, the Bad and the Ugly",4.49,203375,['Western'],"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef']",Italian,Sergio Leone
The Lobster,3.8,289143,"['Drama', 'Comedy', 'Romance']","['Colin Farrell', 'Rachel Weisz', 'Olivia Colman']",English,Yorgos Lanthimos
Apocalypse Now,4.44,274406,"['Drama', 'War']","['Martin Sheen', 'Frederic Forrest', 'Albert Hall']",English,Francis Ford Coppola
The Prestige,4.23,433478,"['Science Fiction', 'Drama', 'Mystery']","['Hugh Jackman', 'Christian Bale', 'Michael Caine']",English,Christopher Nolan
Argo,3.7,104522,"['Thriller', 'Drama']","['Ben Affleck', 'Bryan Cranston', 'Alan Arkin']",English,Ben Affleck
Empire of the Sun,3.81,24898,"['History', 'War', 'Drama']","['Christian Bale', 'John Malkovich', 'Miranda Richardson']",English,Steven Spielberg
Gremlins,3.64,146270,"['Fantasy', 'Horror', 'Comedy']","['Zach Galligan', 'Phoebe Cates', 'Hoyt Axton']",English,Joe Dante
Heathers,3.76,218041,"['Crime', 'Comedy']","['Winona Ryder', 'Christian Slater', 'Shannen Doherty']",English,Michael Lehmann
13 Going on 30,3.56,266006,"['Comedy', 'Romance', 'Fantasy']","['Jennifer Garner', 'Mark Ruffalo', 'Judy Greer']",English,Gary Winick
Bride of Frankenstein,3.97,35004,"['Horror', 'Science Fiction']","['Boris Karloff', 'Ernest Thesiger', 'Colin Clive']",English,James Whale
Rushmore,3.9,142469,"['Drama', 'Comedy']","['Jason Schwartzman', 'Bill Murray', 'Olivia Williams']",English,Wes Anderson
Cinderella,3.48,70019,"['Fantasy', 'Animation', 'Family', 'Romance']","['Ilene Woods', 'Eleanor Audley', 'Verna Felton']",English,Hamilton Luske
A Serious Man,3.88,57270,"['Comedy', 'Drama']","['Michael Stuhlbarg', 'Richard Kind', 'Fred Melamed']",English,Joel Coen
Soul,3.94,626776,"['Family', 'Animation', 'Comedy', 'Fantasy']","['Jamie Foxx', 'Tina Fey', 'Graham Norton']",English,Pete Docter
Lost in Translation,3.84,353374,"['Drama', 'Romance']","['Bill Murray', 'Scarlett Johansson', 'Giovanni Ribisi']",English,Sofia Coppola
The Pianist,4.36,271139,"['Drama', 'War']","['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay']",English,Roman Polanski
Who Framed Roger Rabbit,3.94,135641,"['Animation', 'Crime', 'Comedy', 'Fantasy']","['Bob Hoskins', 'Christopher Lloyd', 'Joanna Cassidy']",English,Robert Zemeckis
Grease,3.47,209040,"['Comedy', 'Romance']","['John Travolta', 'Olivia Newton-John', 'Stockard Channing']",English,Randal Kleiser
Inside Llewyn Davis,4.04,129762,"['Drama', 'Music']","['Oscar Isaac', 'Carey Mulligan', 'Justin Timberlake']",English,Joel Coen
Yi Yi,4.54,49258,['Drama'],"['Wu Nien-jen', 'Issey Ogata', 'Elaine Jin']",Chinese,Edward Yang
Shoplifters,4.3,99449,"['Drama', 'Thriller', 'Crime']","['Lily Franky', 'Sakura Ando', 'Mayu Matsuoka']",Japanese,Hirokazu Kore-eda
The Tale of the Princess Kaguya,4.23,78976,"['Fantasy', 'Animation', 'Drama']","['Aki Asakura', 'Takeo Chii', 'Nobuko Miyamoto']",Japanese,Isao Takahata
True Romance,3.93,74605,"['Romance', 'Crime', 'Action']","['Christian Slater', 'Patricia Arquette', 'Michael Rapaport']",English,Tony Scott
A.I. Artificial Intelligence,3.59,69184,"['Drama', 'Science Fiction', 'Adventure']","['Haley Joel Osment', 'Jude Law', ""Frances O'Connor""]",English,Steven Spielberg
